id,display_name,works_count,h_index,country_code,works_api_url
https://openalex.org/A5061836283,Lucas Gautheron,14,4,FR,https://api.openalex.org/works?filter=author.id:A5061836283
https://openalex.org/A5113954859,Sangbeom Kim,28,0,,https://api.openalex.org/works?filter=author.id:A5113954859
https://openalex.org/A5017357324,Jisu Huh,106,28,US,https://api.openalex.org/works?filter=author.id:A5017357324
https://openalex.org/A5017748876,Seulki Kang,19,12,KR,https://api.openalex.org/works?filter=author.id:A5017748876
https://openalex.org/A5004327296,Yangliu Fan,4,1,DK,https://api.openalex.org/works?filter=author.id:A5004327296
https://openalex.org/A5031702972,Hugo Subtil,4,1,US,https://api.openalex.org/works?filter=author.id:A5031702972
https://openalex.org/A5041539298,Hao Lin,390,77,CN,https://api.openalex.org/works?filter=author.id:A5041539298
https://openalex.org/A5092189548,Nicolò Alessandro Girardini,4,0,IT,https://api.openalex.org/works?filter=author.id:A5092189548
https://openalex.org/A5100714698,Meiling Li,151,28,CN,https://api.openalex.org/works?filter=author.id:A5100714698
https://openalex.org/A5107379548,Nan M. Laird,380,99,US,https://api.openalex.org/works?filter=author.id:A5107379548
https://openalex.org/A5102780534,Sarah Valdez,145,10,US,https://api.openalex.org/works?filter=author.id:A5102780534
https://openalex.org/A5068960692,Soroush Saghafian,111,21,IR,https://api.openalex.org/works?filter=author.id:A5068960692
https://openalex.org/A5042789799,George Wood,7,6,US,https://api.openalex.org/works?filter=author.id:A5042789799
https://openalex.org/A5036233384,Sumeet Gulati,59,16,US,https://api.openalex.org/works?filter=author.id:A5036233384
https://openalex.org/A5086445428,University of Washington,4,1,US,https://api.openalex.org/works?filter=author.id:A5086445428
https://openalex.org/A5001672070,Young-Rok Do,93,11,KR,https://api.openalex.org/works?filter=author.id:A5001672070
https://openalex.org/A5093329780,Tim Faverjon,3,0,FR,https://api.openalex.org/works?filter=author.id:A5093329780
https://openalex.org/A5014435955,Sunny Rai,40,7,IN,https://api.openalex.org/works?filter=author.id:A5014435955
https://openalex.org/A5044470378,Ryan Whalen,57,9,US,https://api.openalex.org/works?filter=author.id:A5044470378
https://openalex.org/A5085986638,Tiago Ventura,52,9,PT,https://api.openalex.org/works?filter=author.id:A5085986638
https://openalex.org/A5002658913,Yair Rubinstein,7,4,IL,https://api.openalex.org/works?filter=author.id:A5002658913
https://openalex.org/A5111578200,Harsh Kumar,322,35,IN,https://api.openalex.org/works?filter=author.id:A5111578200
https://openalex.org/A5087293181,Natalie Schroyens,35,8,NL,https://api.openalex.org/works?filter=author.id:A5087293181
https://openalex.org/A5060246267,Yunya Song,79,14,HK,https://api.openalex.org/works?filter=author.id:A5060246267
https://openalex.org/A5087214548,Massimiliano Luca,35,8,IT,https://api.openalex.org/works?filter=author.id:A5087214548
https://openalex.org/A5082294805,Martin Saveski,37,11,GB,https://api.openalex.org/works?filter=author.id:A5082294805
https://openalex.org/A5015623077,Kazuki Fujikawa,9,5,JP,https://api.openalex.org/works?filter=author.id:A5015623077
https://openalex.org/A5080267104,Genki Ichinose,84,17,JP,https://api.openalex.org/works?filter=author.id:A5080267104
https://openalex.org/A5048176602,Vedran Sekara,40,11,DK,https://api.openalex.org/works?filter=author.id:A5048176602
https://openalex.org/A5012811021,Fabio Carrella,14,3,IT,https://api.openalex.org/works?filter=author.id:A5012811021
