id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5049008235,Marie Louise Juul Søndergaard,https://api.openalex.org/works?filter=author.id:A5049008235,15,45,NO
https://openalex.org/A5090105917,Gopinaath Kannabiran,https://api.openalex.org/works?filter=author.id:A5090105917,9,38,US
https://openalex.org/A5035143698,Simran Chopra,https://api.openalex.org/works?filter=author.id:A5035143698,6,21,GB
https://openalex.org/A5033944244,Nadia Campo Woytuk,https://api.openalex.org/works?filter=author.id:A5033944244,10,26,SE
https://openalex.org/A5015009082,Ebtisam Alabdulqader,https://api.openalex.org/works?filter=author.id:A5015009082,9,32,SA
https://openalex.org/A5042751072,Heather McKinnon,https://api.openalex.org/works?filter=author.id:A5042751072,4,14,AU
https://openalex.org/A5050974623,Heike Winschiers‐Theophilus,https://api.openalex.org/works?filter=author.id:A5050974623,23,196,NA
https://openalex.org/A5027521165,Shaowen Bardzell,https://api.openalex.org/works?filter=author.id:A5027521165,35,160,US
https://openalex.org/A5002664218,Annu Prabhakar,https://api.openalex.org/works?filter=author.id:A5002664218,11,42,US
https://openalex.org/A5114236947,Msd Fernando,https://api.openalex.org/works?filter=author.id:A5114236947,2,10,LK
https://openalex.org/A5088363723,Neha Kumar,https://api.openalex.org/works?filter=author.id:A5088363723,32,173,US
https://openalex.org/A5053796170,Vikram Kamath Cannanure,https://api.openalex.org/works?filter=author.id:A5053796170,6,17,DE
https://openalex.org/A5065221447,Christian Sturm,https://api.openalex.org/works?filter=author.id:A5065221447,9,33,DE
https://openalex.org/A5077761425,Md. Moinuddin Bhuiyan,https://api.openalex.org/works?filter=author.id:A5077761425,1,3,CA
https://openalex.org/A5003700537,Cuauhtémoc Rivera Loaiza,https://api.openalex.org/works?filter=author.id:A5003700537,3,5,MX
https://openalex.org/A5015248532,Mario Alberto Moreno Rocha,https://api.openalex.org/works?filter=author.id:A5015248532,5,35,MX
https://openalex.org/A5023726537,Dina Sabie,https://api.openalex.org/works?filter=author.id:A5023726537,9,11,CA
https://openalex.org/A5070541195,Thejan Rajapakshe,https://api.openalex.org/works?filter=author.id:A5070541195,5,11,AU
https://openalex.org/A5079553919,Haritha Thilakarathne,https://api.openalex.org/works?filter=author.id:A5079553919,3,6,AU
https://openalex.org/A5101461004,Zichao Yang,https://api.openalex.org/works?filter=author.id:A5101461004,27,59,US
https://openalex.org/A5101727205,Xiaodong He,https://api.openalex.org/works?filter=author.id:A5101727205,72,376,CN
https://openalex.org/A5090351022,Alex Smola,https://api.openalex.org/works?filter=author.id:A5090351022,83,235,US
https://openalex.org/A5060225743,Eduard Hovy,https://api.openalex.org/works?filter=author.id:A5060225743,96,780,US
https://openalex.org/A5024845063,Aston Zhang,https://api.openalex.org/works?filter=author.id:A5024845063,4,5,US
https://openalex.org/A5070962435,Zhuosheng Zhang,https://api.openalex.org/works?filter=author.id:A5070962435,26,187,CN
https://openalex.org/A5084658659,Chengwei Qin,https://api.openalex.org/works?filter=author.id:A5084658659,12,62,SG
https://openalex.org/A5044588650,Jiaao Chen,https://api.openalex.org/works?filter=author.id:A5044588650,11,28,CN
https://openalex.org/A5005898634,Michihiro Yasunaga,https://api.openalex.org/works?filter=author.id:A5005898634,30,81,US
https://openalex.org/A5100550303,Miaomiao Wen,https://api.openalex.org/works?filter=author.id:A5100550303,19,43,US
https://openalex.org/A5089539629,Carolyn Penstein Rosé,https://api.openalex.org/works?filter=author.id:A5089539629,53,512,US
https://openalex.org/A5002621773,Caleb Ziems,https://api.openalex.org/works?filter=author.id:A5002621773,10,42,US
https://openalex.org/A5109972562,William A. Held,https://api.openalex.org/works?filter=author.id:A5109972562,35,99,US
https://openalex.org/A5101201263,Zhehao Zhang,https://api.openalex.org/works?filter=author.id:A5101201263,2,7,GB
https://openalex.org/A5069870254,Jiaao Chen,https://api.openalex.org/works?filter=author.id:A5069870254,3,4,US
https://openalex.org/A5047951879,Omar Ahmed Shaikh,https://api.openalex.org/works?filter=author.id:A5047951879,4,8,PK
https://openalex.org/A5030047353,Shagun Jhaver,https://api.openalex.org/works?filter=author.id:A5030047353,16,42,NL
https://openalex.org/A5068986034,Christian Boylston,https://api.openalex.org/works?filter=author.id:A5068986034,2,2,US
https://openalex.org/A5042050067,David Muchlinski,https://api.openalex.org/works?filter=author.id:A5042050067,9,28,US
https://openalex.org/A5069041669,Mai ElSherief,https://api.openalex.org/works?filter=author.id:A5069041669,17,42,DK
https://openalex.org/A5077494001,Jordyn Seybolt,https://api.openalex.org/works?filter=author.id:A5077494001,4,5,US
https://openalex.org/A5042325054,Vaishnavi Anupindi,https://api.openalex.org/works?filter=author.id:A5042325054,1,3,US
https://openalex.org/A5083896973,Ryan G. Carlson,https://api.openalex.org/works?filter=author.id:A5083896973,19,95,US
https://openalex.org/A5110422746,Lauren Β. Resnick,https://api.openalex.org/works?filter=author.id:A5110422746,59,271,US
https://openalex.org/A5035687002,Jennifer Zoltners Sherer,https://api.openalex.org/works?filter=author.id:A5035687002,7,31,US
https://openalex.org/A5014947418,Pam Goldman,https://api.openalex.org/works?filter=author.id:A5014947418,3,5,US
https://openalex.org/A5075198678,Zheng Yao,https://api.openalex.org/works?filter=author.id:A5075198678,23,247,CN
https://openalex.org/A5069326020,Iris Howley,https://api.openalex.org/works?filter=author.id:A5069326020,16,50,US
https://openalex.org/A5018504015,Joseph Seering,https://api.openalex.org/works?filter=author.id:A5018504015,16,34,KR
https://openalex.org/A5039926801,Bing He,https://api.openalex.org/works?filter=author.id:A5039926801,11,54,CN
https://openalex.org/A5033829606,Sandeep Soni,https://api.openalex.org/works?filter=author.id:A5033829606,14,87,IN
https://openalex.org/A5056142478,Srijan Kumar,https://api.openalex.org/works?filter=author.id:A5056142478,24,158,US
https://openalex.org/A5109937799,Ankur P. Parikh,https://api.openalex.org/works?filter=author.id:A5109937799,28,107,US
https://openalex.org/A5040824554,Xuezhi Wang,https://api.openalex.org/works?filter=author.id:A5040824554,14,56,CN
https://openalex.org/A5026789962,Sebastian Gehrmann,https://api.openalex.org/works?filter=author.id:A5026789962,34,188,DE
https://openalex.org/A5014855689,Manaal Faruqui,https://api.openalex.org/works?filter=author.id:A5014855689,37,148,DK
https://openalex.org/A5055033421,Bhuwan Dhingra,https://api.openalex.org/works?filter=author.id:A5055033421,32,124,US
https://openalex.org/A5021055773,Dipanjan Das,https://api.openalex.org/works?filter=author.id:A5021055773,48,154,IN
https://openalex.org/A5010102166,Jane Yu,https://api.openalex.org/works?filter=author.id:A5010102166,37,195,NZ
https://openalex.org/A5029052900,Yi‐Chia Wang,https://api.openalex.org/works?filter=author.id:A5029052900,23,106,TW
https://openalex.org/A5044691513,Omar Shaikh,https://api.openalex.org/works?filter=author.id:A5044691513,9,43,US
https://openalex.org/A5067621853,Alon Halevy,https://api.openalex.org/works?filter=author.id:A5067621853,72,300,US
https://openalex.org/A5100777469,Hongxin Zhang,https://api.openalex.org/works?filter=author.id:A5100777469,22,246,CN
https://openalex.org/A5002023162,Michael A. Bernstein,https://api.openalex.org/works?filter=author.id:A5002023162,29,203,US
https://openalex.org/A5101495517,Yihe Liu,https://api.openalex.org/works?filter=author.id:A5101495517,13,89,CN
https://openalex.org/A5081132420,Anushk Mittal,https://api.openalex.org/works?filter=author.id:A5081132420,1,1,US
https://openalex.org/A5062550465,Kenneth R. Koedinger,https://api.openalex.org/works?filter=author.id:A5062550465,75,515,US
https://openalex.org/A5071800484,Xu Wang,https://api.openalex.org/works?filter=author.id:A5071800484,44,469,CN
https://openalex.org/A5075214995,Patsorn Sangkloy,https://api.openalex.org/works?filter=author.id:A5075214995,12,23,TH
https://openalex.org/A5072755496,Wittawat Jitkrittum,https://api.openalex.org/works?filter=author.id:A5072755496,14,89,US
https://openalex.org/A5065590661,Camille Harris,https://api.openalex.org/works?filter=author.id:A5065590661,5,11,US
https://openalex.org/A5016775802,James Hays,https://api.openalex.org/works?filter=author.id:A5016775802,55,193,US
https://openalex.org/A5102905792,Sadie Palmer,https://api.openalex.org/works?filter=author.id:A5102905792,1,2,US
